LTO total mass (g),The total mass of carbon monoxide emitted during the LTO cycle (sum of time in mode x fuel flow x average EI at each of the four power settings).
LTO total mass (g),The total mass of oxides of nitrogen emitted during the LTO cycle (sum of time in mode x fuel flow x average EI at each of the four power settings).
Manufacturer,Engine manufacturer
NOx Compliance paragraph,2.3.2. c)
NOx Compliance paragraph,2.3.2. d)
NOx Compliance paragraph,2.3.2. e)
Number  test,Number of tests done for oxides of nitrogen
Number eng,Number of engines tested for hydrocarbon
Number eng,Number of engines tested for carbon monoxide
Number eng,Number of engines tested for oxides of nitrogen
Number eng,Number of engines tested for smoke
Number test,Number of tests done for hydrocarbon
Number test,Number of tests done for carbon monoxide
Number test,Number of tests done for smoke
Other,Data from engines other than NME or DTEPS.  See remarks on engine data sheet.
Out of production,Engine which the manufacturer has confirmed is no longer produced (data row shaded light blue)
Out of service,Engine which the manufacturer has confirmed is no longer in service (data row shaded very dark grey)
Press ratio,Engine pressure ratio
"Rated Output, kN","Engine maximum rated thrust, in kilonewtons"
Remarks,
Smoke Number App,Smoke number at approach condition
Smoke Number C/O,Smoke number at climb out condition
Smoke Number characteristic,
Smoke Number idle,Smoke number at idle condition
Smoke Number Max,Maximum smoke number measured
Smoke Number range, 
Smoke Number sigma,Smoke number standard deviation
Smoke Number T/O,Smoke number at take off condition
Superseded by UID NO,UID of data which replaced the superseded data
Test dates from,
Test dates to,
Test location,
Test organization, 
UID No,Unique Identification Number
